Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
cowok berusaha melacak perhatian gue lantas remehkan perhatian gue kasih khusus basic cowok,1,1,1,0,0,0,0,0,1,1,0,0
telat gue bergaul cigax jifla calis licew,0,1,0,0,0,0,0,0,0,0,0,0
41 kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0
ku matamu,0,0,0,0,0,0,0,0,0,0,0,0
kaum dongoknya haha,1,1,0,1,1,0,0,0,0,0,1,0
ya kawan kawan x84 x84 x84,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilihan kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue selesai re watch aldnoah zero 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
admin belanja po terbaik nak makan ais kepal milo ais kepal horlicks cendol toping doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
enak,0,1,0,0,0,0,0,0,0,0,0,0
gue jari gue ukur nyali x8f,1,1,1,0,0,0,0,0,1,1,0,0
kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0
aktor huru hara 98 prabowo lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
bu guru enakan guru sekolah dasar kayaknya menikmati guru,1,1,1,0,0,0,0,1,0,1,0,0
lawan bicara gue intelek otak kencing gue mengakui hadis nabi sahih menolak ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
pikiran ya,0,0,0,0,0,0,0,0,0,0,0,0
ari beki rapi x86 x86,0,1,0,0,0,0,0,0,0,0,0,0
cowok gantle gantle namanya,1,1,0,1,0,0,0,1,0,0,1,0
alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
ya gue jarang mengambek takut wkwk gue budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
peluang disakiti gede,0,0,0,0,0,0,0,0,0,0,0,0
joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0
